individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
V8	V61-C	34000												
V8	V62	34000												
V8	V63	34000												
V8	V64	34000												
V8	V65	34000												
V8	V66	34000												
V8	V67	34000												
V8	V68	34000												
V8	V69	34000												
V8	V80	23100												
V8	V81	23100												
V8	V82	23100												
V8	V83	23100												
V8	V83-B	23100												
V8	V83-C	23100												
V8	V84	23100												
V8	V84-B	23100												
V8	V84-C	23100												
V8	V85	23100												
V8	V86	23100												
V8	V87	23100												
V8	V88	11700												
V8	V89	11700												
V8	V90	11700												
V9	V36	25000												
V9	V37	25000												
V9	V38	25000												
V9	V39	25000												
V9	V40	25000												
V9	V41	25000												
V9	V42	25000												
V9	V43	31200												
V9	V44	31200												
V9	V44-B	31200												
V9	V44-C	31200												
V9	V45	31200												
V9	V45-C	31200												
V9	V45-D	31200												
V9	V46	31200												
V9	V47	31200												
V9	V48	31200												
V9	V49	31200												
V9	V53	35500												
V9	V54	35500												
V9	V55	35500												
V9	V56	35500												
V9	V57	35500												
V9	V60	34000												
V9	V60-B	34000												
V9	V60-D	34000												
V9	V61	34000												
V9	V61-B	34000												
V9	V61-C	34000												
V9	V62	34000												
V9	V63	34000												
V9	V64	34000												
V9	V65	34000												
V9	V66	34000												
V9	V67	34000												
